term	module
AcceptActionUsage	SysML/Systems/Actions
AcceptActionUsage_payloadArgument	SysML/Systems/Actions
AcceptActionUsage_payloadParameter	SysML/Systems/Actions
AcceptActionUsage_receiverArgument	SysML/Systems/Actions
ActionDefinition	SysML/Systems/Actions
ActionDefinition_action	SysML/Systems/Actions
ActionUsage	SysML/Systems/Actions
ActionUsage_actionDefinition	SysML/Systems/Actions
ActorMembership	SysML/Systems/Requirements
ActorMembership_ownedActorParameter	SysML/Systems/Requirements
AllocationDefinition	SysML/Systems/Allocations
AllocationDefinition_allocation	SysML/Systems/Allocations
AllocationUsage	SysML/Systems/Allocations
AllocationUsage_allocationDefinition	SysML/Systems/Allocations
AnalysisCaseDefinition	SysML/Systems/AnalysisCases
AnalysisCaseDefinition_resultExpression	SysML/Systems/AnalysisCases
AnalysisCaseUsage	SysML/Systems/AnalysisCases
AnalysisCaseUsage_analysisCaseDefinition	SysML/Systems/AnalysisCases
AnalysisCaseUsage_resultExpression	SysML/Systems/AnalysisCases
AnnotatingElement	KerML/Root/Annotations
AnnotatingElement_annotatedElement	KerML/Root/Annotations
AnnotatingElement_annotation	KerML/Root/Annotations
AnnotatingElement_ownedAnnotatingRelationship	KerML/Root/Annotations
Annotation	KerML/Root/Annotations
Annotation_annotatedElement	KerML/Root/Annotations
Annotation_annotatingElement	KerML/Root/Annotations
Annotation_owningAnnotatedElement	KerML/Root/Annotations
Annotation_owningAnnotatingElement	KerML/Root/Annotations
AssertConstraintUsage	SysML/Systems/Constraints
AssertConstraintUsage_assertedConstraint	SysML/Systems/Constraints
AssignmentActionUsage	SysML/Systems/Actions
AssignmentActionUsage_referent	SysML/Systems/Actions
AssignmentActionUsage_targetArgument	SysML/Systems/Actions
AssignmentActionUsage_valueExpression	SysML/Systems/Actions
Association	KerML/Kernel/Associations
AssociationStructure	KerML/Kernel/Associations
Association_associationEnd	KerML/Kernel/Associations
Association_relatedType	KerML/Kernel/Associations
Association_sourceType	KerML/Kernel/Associations
Association_targetType	KerML/Kernel/Associations
AttributeDefinition	SysML/Systems/Attributes
AttributeUsage	SysML/Systems/Attributes
AttributeUsage_attributeDefinition	SysML/Systems/Attributes
Behavior	KerML/Kernel/Behaviors
Behavior_parameter	KerML/Kernel/Behaviors
